id,appid,playtime_forever,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_2weeks
0,15100,699,699,0,0,
1,34030,5333,2147,0,0,257.0
2,17080,3,0,0,0,
3,212070,906,30,0,0,
4,212500,1,0,0,0,
5,218230,4879,228,0,0,
6,1083500,0,0,0,0,
7,230410,104203,23550,0,0,561.0
8,236390,7271,259,0,0,
9,272350,4618,0,0,0,
10,209870,26,0,0,0,
11,248570,714,0,0,0,
12,265630,42,0,0,0,
13,271290,36,0,0,0,
14,239220,1356,0,0,0,
15,253490,8,0,0,0,
16,242050,9151,1597,0,0,
17,286690,1387,17,0,0,
18,287390,3225,908,0,0,
19,301520,11,0,0,0,
20,305260,907,8,0,0,
21,224600,1346,0,0,0,
22,227700,48,0,0,0,
23,291480,5043,167,0,0,
24,227940,1609,312,0,0,
25,333930,1306,30,0,0,
26,338540,1,0,0,0,
27,364110,121,0,0,0,
28,365670,168,0,0,0,
29,369200,9,0,0,0,
30,391540,2353,536,0,0,
31,368500,4121,2587,0,0,
32,444090,1551,232,0,0,
33,596350,0,0,0,0,
34,442080,5,0,0,0,
35,402570,55,0,0,0,
36,521200,56,56,0,0,
37,552990,250,0,0,0,
38,884660,70,70,0,0,
39,905370,77,77,0,0,
40,304390,64608,63995,0,0,988.0
41,654310,0,0,0,0,
42,231430,80,0,0,0,
43,226840,20,0,0,0,
44,1085660,1401,1401,0,0,
45,1180380,471,471,0,0,
46,489520,0,0,0,0,
47,1249200,56,56,0,0,
48,1252780,162,162,0,0,
49,582660,44,44,0,0,
50,203160,865,865,0,0,
51,289690,0,0,0,0,
52,1275350,6,6,0,0,
53,424840,0,0,0,0,
